tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
581,2019-10-07 00:43:11.9770,2019-10-07 00:52:53.3310,74,Harvard Square at Mass Ave/ Dunster,42.373267999999996,-71.118579,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426000000004,-71.10549499999999,2557,Customer,1985,1,257089,-71.12142949304827,42.3742044968259,134875,-71.10671324071417,42.364068351385534,2591.0,3173.0
473,2019-10-07 00:45:03.4220,2019-10-07 00:52:56.7510,54,Tremont St at West St,42.354979,-71.063348,21,Prudential Center - Belvedere St,42.346520039984114,-71.08065776545118,5836,Subscriber,1994,1,256841,-71.06025244310008,42.35597656477803,248357,-71.08051810811381,42.34430796414281,2703.0,3176.0
708,2019-10-07 00:45:49.6160,2019-10-07 00:57:38.1370,42,Boylston St at Arlington St,42.35258779507021,-71.06764905172895,33,Kenmore Square,42.348706,-71.097009,5785,Subscriber,1967,2,249219,-71.06822167789669,42.350164989688786,1307,-71.09933312669615,42.35046394504772,2749.0,3458.0
299,2019-10-07 00:46:15.6220,2019-10-07 00:51:15.3390,156,Somerville Hospital,42.390888017213385,-71.10962569713591,101,Ball Sq,42.399155887145724,-71.11102573591778,2378,Customer,1995,1,257386,-71.10642552555521,42.39203404655876,16551,-71.10863039403081,42.39778858042634,2775.0,3075.0
1250,2019-10-07 00:46:28.9340,2019-10-07 01:07:19.8240,144,Rogers St & Land Blvd,42.36575798214837,-71.07699394226073,396,Main St at Beacon St,42.41072713868097,-71.06266822675025,3703,Customer,1987,1,154705,-71.0801518,42.364956500000005,231714,-71.06411571383663,42.41295837133069,2788.0,4039.0
599,2019-10-07 00:47:30.7400,2019-10-07 00:57:30.3320,342,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,4703,Customer,1969,0,317,-71.09591304771834,42.343886586923745,245911,-71.10285662863782,42.33644404977795,2850.0,3450.0
222,2019-10-07 00:54:29.8710,2019-10-07 00:58:12.7260,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171065,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4847,Subscriber,1998,1,225046,-71.09845095,42.3642456,201814,-71.0906730683855,42.35941899330216,3269.0,3492.0
502,2019-10-07 00:59:07.1300,2019-10-07 01:07:29.7850,374,Tremont St at Hamilton Pl,42.35668334969929,-71.06166645884514,379,Tremont St at W. Dedham St,42.34254913737952,-71.07421449387857,2271,Customer,1969,0,260656,-71.06270317892879,42.35635366729833,254291,-71.07442169729467,42.34370120179271,3547.0,4049.0
611,2019-10-07 00:59:11.9210,2019-10-07 01:09:23.2400,179,MIT Vassar St,42.35560121327927,-71.10394477844237,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,2399,Subscriber,1995,1,138435,-71.10703797752518,42.35517042095821,259136,-71.08457513851918,42.36919125836754,3551.0,4163.0
982,2019-10-07 00:59:19.7370,2019-10-07 01:15:42.0340,8,Union Square - Brighton Ave at Cambridge St,42.353334000000004,-71.137313,9,Commonwealth Ave at Agganis Way,42.35169201885972,-71.11903488636017,2864,Customer,1969,0,221161,-71.14078939999999,42.35283235,1480,-71.11778310986497,42.34931421426107,3559.0,4542.0
728,2019-10-07 00:59:35.5750,2019-10-07 01:11:44.3450,8,Union Square - Brighton Ave at Cambridge St,42.353334000000004,-71.137313,9,Commonwealth Ave at Agganis Way,42.35169201885972,-71.11903488636017,5825,Customer,1969,0,180457,-71.13617068850755,42.35237348637172,31901,-71.11926932536528,42.34976837006773,3575.0,4304.0
632,2019-10-07 01:01:56.7330,2019-10-07 01:12:29.4490,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,2789,Subscriber,1959,2,96508,-71.11278414500134,42.3763334935065,133955,-71.08554066980733,42.369982164040614,3716.0,4349.0
443,2019-10-07 01:02:22.9890,2019-10-07 01:09:46.6800,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,335,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,5414,Subscriber,1998,2,124538,-71.09508724967903,42.356920366448264,54237,-71.09350662716976,42.365920198094145,3742.0,4186.0
184,2019-10-07 01:02:42.8380,2019-10-07 01:05:47.4810,6,Cambridge St at Joy St,42.361211653079856,-71.06530619789737,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,4121,Subscriber,1986,1,249564,-71.06404860709141,42.35959587097995,189259,-71.06615380992265,42.36381431229706,3762.0,3947.0
226,2019-10-07 01:04:46.1120,2019-10-07 01:08:32.4540,331,Huntington Ave at Mass Art,42.33658555456115,-71.0988699646623,11,Longwood Ave at Binney St,42.338629,-71.1065,3113,Subscriber,1995,1,245898,-71.09920709686612,42.33680689848199,86279,-71.10688664165626,42.3370369098481,3886.0,4112.0
1989,2019-10-07 01:05:30.8880,2019-10-07 01:38:40.8370,61,Boylston St at Fairfield St,42.348762,-71.082383,401,High St at Cypress St,42.32538435700882,-71.12177595532556,2161,Customer,1983,1,248027,-71.08144708147029,42.35009750953489,159487,-71.11885253290886,42.3266502316571,3930.0,5920.0
830,2019-10-07 01:05:49.7100,2019-10-07 01:19:40.4260,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5,Northeastern University - North Parking Lot,42.341814,-71.090179,4847,Customer,1969,0,201807,-71.09291773693248,42.358710445189836,355,-71.08817675,42.343934499999996,3949.0,4780.0
5337,2019-10-07 01:06:01.2850,2019-10-07 02:34:58.9770,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5,Northeastern University - North Parking Lot,42.341814,-71.090179,3084,Customer,1969,0,201816,-71.09322601286955,42.360701286042996,629,-71.08749202450929,42.343348777830194,3961.0,9298.0
239,2019-10-07 01:07:30.8690,2019-10-07 01:11:30.8360,13,Boston Medical Center - E Concord St at Harrison Ave,42.336399153724976,-71.07306711393903,412,Washington St at Peters Park,42.34303291130257,-71.06688730436872,4877,Subscriber,1990,1,254589,-71.07408781466415,42.33650335369204,251014,-71.06936617100497,42.344071743974006,4050.0,4290.0
1778,2019-10-07 01:07:42.1110,2019-10-07 01:37:20.9340,206,Government Center - Cambridge St at Court St,42.35980251599553,-71.05960782626425,23,Boston City Hall - 28 State St,42.35892,-71.057629,5496,Customer,1969,0,250337,-71.0620315008432,42.35793618704719,202779,-71.05664455629136,42.36069292109317,4062.0,5840.0
1787,2019-10-07 01:07:46.3510,2019-10-07 01:37:33.6730,206,Government Center - Cambridge St at Court St,42.35980251599553,-71.05960782626425,23,Boston City Hall - 28 State St,42.35892,-71.057629,4836,Customer,1969,0,248871,-71.05679830065338,42.361441055432834,24157,-71.06003006921462,42.358034856157374,4066.0,5853.0
1155,2019-10-07 01:08:41.5000,2019-10-07 01:27:56.9070,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171065,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,9,Subscriber,1990,2,90878,-71.0972087593337,42.36426869363005,127540,-71.08659823150644,42.37211118912835,4121.0,5276.0
1484,2019-10-07 01:13:25.1040,2019-10-07 01:38:09.3620,374,Tremont St at Hamilton Pl,42.35668334969929,-71.06166645884514,282,Stony Brook T Stop,42.316966,-71.10437399999999,4393,Customer,1990,1,246257,-71.06063042352292,42.35574215914708,84773,-71.10713346865352,42.316837533294425,4405.0,5889.0
547,2019-10-07 01:14:18.1210,2019-10-07 01:23:26.0860,69,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,193,Brookline Town Hall,42.33376472623494,-71.12046446660315,5561,Subscriber,1956,1,86161,-71.1203434383986,42.34113772651355,89896,-71.12230964999999,42.33500320000001,4458.0,5006.0
343,2019-10-07 01:14:29.0050,2019-10-07 01:20:12.3600,364,Tremont St at Northampton St,42.33889559644165,-71.08149975611012,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2216,Subscriber,1997,1,51009,-71.08102155,42.33702615000001,251304,-71.07581745111773,42.34647364372765,4469.0,4812.0
616,2019-10-07 01:16:50.9890,2019-10-07 01:27:07.9810,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,144,Rogers St & Land Blvd,42.36575798214837,-71.07699394226073,3184,Subscriber,1992,1,85573,-71.10026859263128,42.36015449581615,153408,-71.0779747221784,42.36706666167616,4610.0,5227.0
3107,2019-10-07 01:21:21.8290,2019-10-07 02:13:09.5680,9,Commonwealth Ave at Agganis Way,42.35169201885972,-71.11903488636017,402,Washington St at Griggs Rd,42.33833423719901,-71.13050930220197,3529,Subscriber,1986,1,85905,-71.11860013489154,42.350369868290784,117384,-71.12801210932749,42.336595264741106,4881.0,7989.0
961,2019-10-07 01:21:52.3830,2019-10-07 01:37:53.5060,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,2168,Customer,1969,0,51599,-71.09459202434782,42.339488461255634,85305,-71.1025662,42.333239899999995,4912.0,5873.0
963,2019-10-07 01:22:06.2980,2019-10-07 01:38:09.3370,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,5536,Customer,1969,0,54820,-71.09682260043598,42.335250287780106,3505,-71.10196525,42.334247299999994,4926.0,5889.0
1358,2019-10-07 01:23:43.9630,2019-10-07 01:46:22.5600,189,Kendall T,42.362427842912396,-71.08495473861693,333,699 Mt Auburn St,42.37500235137831,-71.14871613699506,4933,Subscriber,1982,0,4333,-71.08214497447227,42.36115686030838,225072,-71.15062620518455,42.37528536299073,5023.0,6382.0
